"date","open","high","low","close","volume","pct_chg"
2000-11-01,142.25,143.25,141.22,142.47,6750000,-0.0034
2000-11-02,143.16,143.91,142.52,142.7,11400000,0.0016
2000-11-03,143.47,143.75,142.38,142.78,5190000,6e-04
2000-11-06,143.16,144.3,143.03,143.78,4040000,0.007
2000-11-07,143.14,144,142.56,143.75,5230000,-2e-04
2000-11-08,144.06,144.06,140.56,140.56,6120000,-0.0222
2000-11-09,140,141.22,137.25,140.03,10640000,-0.0038
2000-11-10,139,139.47,136.53,136.62,8570000,-0.0244
2000-11-13,135.62,136.98,133.02,135.56,17290000,-0.0078
2000-11-14,137.47,139.62,137,139.12,7670000,0.0263
2000-11-15,139.06,140.11,137.75,139.56,8840000,0.0032
2000-11-16,139.56,139.88,137.31,137.38,6680000,-0.0156
2000-11-17,137.31,139,135.75,136.64,6550000,-0.0054
2000-11-20,135.75,136.38,134.31,134.69,5460000,-0.0143
2000-11-21,134.88,136.19,133.52,135.38,7680000,0.0051
2000-11-22,134.34,134.88,132.12,132.14,5740000,-0.0239
2000-11-24,133.62,134.97,133.62,134.84,3410000,0.0204
2000-11-27,136.47,136.69,135.31,136.03,5990000,0.0088
2000-11-28,135.12,136.59,133.64,133.69,5340000,-0.0172
2000-11-29,134.38,135.91,133.27,133.44,6910000,-0.0019
2000-11-30,132.5,133.5,129.75,132.28,11200000,-0.0087
2000-12-01,133.19,134.06,131,132.22,7590000,-5e-04
2000-12-04,131.88,133.88,131.5,133.34,7e+06,0.0085
2000-12-05,134.88,138.25,134.41,137.72,8880000,0.0328
2000-12-06,137.78,138.34,135.03,135.52,12890000,-0.016
2000-12-07,134.88,135.88,133.66,133.66,6530000,-0.0137
2000-12-08,137.06,139.12,133.88,133.97,10280000,0.0023
2000-12-11,137.38,139.56,136.72,138.62,6410000,0.0347
2000-12-12,138.19,138.81,137.38,138.03,5020000,-0.0043
2000-12-13,139.25,139.41,136.03,136.14,6070000,-0.0137
2000-12-14,135.88,136.5,134.03,134.41,7780000,-0.0127
2000-12-15,133.12,133.12,130.56,130.97,9070000,-0.0256
2000-12-18,132.06,133.47,131.77,132.72,7240000,0.0134
2000-12-19,132.47,134.97,130.02,130.02,9620000,-0.0203
2000-12-20,128.62,128.94,126.09,126.25,9990000,-0.029
2000-12-21,126,128.86,125.53,127.12,14330000,0.0069
2000-12-22,129,131.11,128.84,130.94,10180000,0.0301
2000-12-26,130.84,132.34,130.28,132.34,4670000,0.0107
2000-12-27,132,133.73,131.25,133.31,4850000,0.0073
2000-12-28,132.81,133.88,132.59,133.72,8360000,0.0031
2000-12-29,134.06,134.28,131.19,131.19,8770000,-0.0189
2001-01-02,132,132.16,127.56,128.81,8740000,-0.0181
2001-01-03,128.31,136,127.66,135,19430000,0.0481
2001-01-04,134.94,135.47,133,133.55,9220000,-0.0107
2001-01-05,133.47,133.62,129.19,129.19,12910000,-0.0326
2001-01-08,129.88,130.19,127.69,130.19,6630000,0.0077
2001-01-09,131.05,131.5,129.42,129.84,5700000,-0.0027
2001-01-10,129,132.12,128.81,132.12,8750000,0.0176
2001-01-11,131.09,133.48,131.09,132.25,7250000,0.001
2001-01-12,132.69,133.72,131.28,132,7240000,-0.0019
2001-01-16,132,133.19,131.52,132.84,8540000,0.0064
2001-01-17,134.84,135.05,132.64,133.45,7850000,0.0046
2001-01-18,133.44,135.7,132.94,134.78,8110000,0.01
2001-01-19,136.19,136.19,133.88,134.02,7830000,-0.0056
2001-01-22,134.25,135.78,133.56,134.91,7050000,0.0066
2001-01-23,134.47,136.66,134.16,135.97,8460000,0.0079
2001-01-24,136.25,137.31,135.84,136.38,6200000,0.003
2001-01-25,136.25,137.25,135.66,136.03,10820000,-0.0026
2001-01-26,135.16,136.12,134.45,135.88,7140000,-0.0011
2001-01-29,135.5,136.9,135.37,136.6,6710000,0.0053
2001-01-30,136.3,137.92,135.79,137.8,7070000,0.0088
2001-01-31,137.4,138.7,136.6,137.02,9710000,-0.0057
2001-02-01,137.1,137.95,136.25,137.93,8240000,0.0066
2001-02-02,137.4,137.99,134.75,134.8,8280000,-0.0227
2001-02-05,134.8,135.94,134.75,135.79,4350000,0.0073
2001-02-06,135.3,136.7,135.22,135.39,7110000,-0.0029
2001-02-07,134.72,135.4,133.68,134.69,5750000,-0.0052
2001-02-08,134.8,135.4,133.1,133.12,5940000,-0.0117
2001-02-09,133.35,133.35,131.26,131.84,9910000,-0.0096
2001-02-12,131.7,133.5,131.7,133.35,5800000,0.0115
2001-02-13,133.7,134.17,132,132.26,6590000,-0.0082
2001-02-14,132.63,132.65,130.66,132.06,8400000,-0.0015
2001-02-15,132.84,133.52,131.99,133.34,5930000,0.0097
2001-02-16,131,131.29,129.3,130.4,6430000,-0.022
2001-02-20,131.04,131.14,128.1,128.39,5760000,-0.0154
2001-02-21,127.9,128.84,125.5,125.62,10910000,-0.0216
2001-02-22,126.35,126.54,123.02,125.81,21280000,0.0015
2001-02-23,125.08,125.54,121.8,124.96,20170000,-0.0068
2001-02-26,125.8,127.62,124.5,127.62,11500000,0.0213
2001-02-27,126.8,127.84,125.51,126.44,11420000,-0.0092
2001-02-28,126.75,126.84,123.27,123.95,14830000,-0.0197
2001-03-01,124.05,124.6,121.75,124.6,14670000,0.0052
2001-03-02,122.5,125.65,122.3,123.61,12560000,-0.0079
2001-03-05,124.15,124.78,123.81,124.74,5290000,0.0091
2001-03-06,126.35,127.75,125.49,126.08,6920000,0.0107
2001-03-07,126.9,127.04,125.76,126.98,6370000,0.0071
2001-03-08,126.6,127.24,126.14,127.12,6060000,0.0011
2001-03-09,126.1,126.1,123.11,123.36,10020000,-0.0296
2001-03-12,122.34,122.5,117.75,118.08,13970000,-0.0428
2001-03-13,119.4,120.44,117.53,120.02,12890000,0.0164
2001-03-14,117.05,119.29,115.75,117.65,19880000,-0.0197
2001-03-15,118.45,118.86,117.36,117.68,10370000,3e-04
2001-03-16,117.13,117.4,114.81,115.01,58520000,-0.0227
2001-03-19,115.76,117.69,114.82,117.35,10070000,0.0203
2001-03-20,117.9,118.46,114.11,114.2,15090000,-0.0268
2001-03-21,114.18,115.26,111.9,112.26,1.9e+07,-0.017
2001-03-22,112.02,112.6,108.04,111.12,28630000,-0.0102
2001-03-23,113.25,114.66,111.5,114.48,12860000,0.0302
2001-03-26,115.7,116.27,114.77,115.94,9940000,0.0128
2001-03-27,115.62,118.65,115.28,118.31,12880000,0.0204
2001-03-28,116.9,116.95,114.9,115.04,10950000,-0.0276
2001-03-29,114.7,116.5,112.14,115.48,12060000,0.0038
2001-03-30,115.55,116.69,114.5,116.69,9180000,0.0105
2001-04-02,116.3,117.38,113.8,114.2,10560000,-0.0213
2001-04-03,113.98,114.15,110.06,110.39,12840000,-0.0334
2001-04-04,110.58,112.1,109.3,110.85,14890000,0.0042
2001-04-05,113.3,115.49,112.5,115.05,21530000,0.0379
2001-04-06,113.99,114.4,112.06,113.3,14940000,-0.0152
2001-04-09,114,114.99,112.78,114.56,9040000,0.0111
2001-04-10,115.45,117.75,115.17,116.65,17880000,0.0182
2001-04-11,118.78,118.99,116.14,116.73,12740000,7e-04
2001-04-12,116.3,118.94,115.96,118.85,9230000,0.0182
2001-04-16,118.29,118.89,116.91,117.6,7350000,-0.0105
2001-04-17,117.31,119.66,117.02,119.26,10930000,0.0141
2001-04-18,121.06,126,120.69,124,32500000,0.0397
2001-04-19,124.25,125.84,123.58,125.65,13810000,0.0133
2001-04-20,124.9,125.4,123.66,124.5,7630000,-0.0092
2001-04-23,123.65,123.89,121.91,122.24,8450000,-0.0182
2001-04-24,122.52,123.65,121.1,121.58,10050000,-0.0054
2001-04-25,121.42,123.67,120.95,123.17,8250000,0.0131
2001-04-26,123.73,125.22,123.5,123.72,10590000,0.0045
2001-04-27,124.92,125.84,124.2,125.78,8050000,0.0167
2001-04-30,126.45,127.27,124.67,124.91,10770000,-0.0069
2001-05-01,125.07,127.15,124.6,127.05,10580000,0.0171
2001-05-02,127.41,127.69,126,126.82,9570000,-0.0018
2001-05-03,126.13,126.15,124.22,125.21,9930000,-0.0127
2001-05-04,123.65,127.35,123.44,127.34,12150000,0.017
2001-05-07,126.86,127.38,126.23,126.24,7190000,-0.0086
2001-05-08,126.86,127.1,125.56,126.18,6950000,-5e-04
2001-05-09,125.25,126.55,125.06,125.65,9510000,-0.0042
2001-05-10,127.26,127.5,125.77,126.02,6870000,0.0029
2001-05-11,126,126.49,124.4,125.15,7740000,-0.0069
2001-05-14,124.9,125.44,124.46,125.4,7910000,0.002
2001-05-15,125.55,126.5,124.85,125.98,9780000,0.0046
2001-05-16,124.84,129.2,124.62,128.95,14920000,0.0236
2001-05-17,129,130.08,128.56,129.15,11830000,0.0016
2001-05-18,129.09,129.74,128.1,129.74,6680000,0.0046
2001-05-21,129.84,131.84,129.15,131.65,11530000,0.0147
2001-05-22,131.83,132.09,131.07,131.48,8340000,-0.0013
2001-05-23,131.05,131.05,129.25,129.25,12330000,-0.017
2001-05-24,129.47,130,128.55,129.63,7910000,0.0029
2001-05-25,129.65,129.7,127.9,128.1,7430000,-0.0118
2001-05-29,128.23,128.35,126.9,127.08,9010000,-0.008
2001-05-30,126.59,127.09,125,125.3,10040000,-0.014
2001-05-31,125.43,126.76,125.26,125.95,9880000,0.0052
2001-06-01,126.2,127.1,125.12,126.73,8850000,0.0062
2001-06-04,126.8,127.43,126.08,127.34,5630000,0.0048
2001-06-05,127.49,129.23,127.27,128.8,9120000,0.0115
2001-06-06,128.83,128.83,127.36,127.73,12070000,-0.0083
2001-06-07,127.05,128.35,127,128.19,7360000,0.0036
2001-06-08,127.7,127.87,126.14,127,8170000,-0.0093
2001-06-11,126.71,126.99,125.41,126.1,7010000,-0.0071
2001-06-12,124.86,126.74,124.04,125.88,9370000,-0.0017
2001-06-13,126.17,126.58,124.65,124.8,7630000,-0.0086
2001-06-14,124.18,124.3,121.75,122,12600000,-0.0224
2001-06-15,120.91,122.4,120.4,121.85,16820000,-0.0012
2001-06-18,121.65,122.44,120.91,121.26,11380000,-0.0048
2001-06-19,122.38,122.89,120.89,121.79,7730000,0.0044
2001-06-20,121.19,122.86,121.1,122.43,8790000,0.0053
2001-06-21,122.22,124.31,122.15,123.82,12260000,0.0114
2001-06-22,123.49,123.6,122.16,122.85,12210000,-0.0078
2001-06-25,123.28,123.44,121.5,121.72,8410000,-0.0092
2001-06-26,120.9,122.39,120.57,121.55,8010000,-0.0014
2001-06-27,121.6,122.24,120.91,121.48,10110000,-6e-04
2001-06-28,122,123.94,121.93,122.15,10270000,0.0055
2001-06-29,122.8,124.01,122.26,122.6,9820000,0.0037
2001-07-02,122.8,124.32,122.62,124.13,8520000,0.0125
2001-07-03,123.98,124.1,123.05,124.1,3300000,-2e-04
2001-07-05,123.07,123.65,121.66,121.68,5520000,-0.0195
2001-07-06,121.31,121.49,119.05,119.05,11670000,-0.0216
2001-07-09,119.49,120.54,119.2,119.7,8340000,0.0055
2001-07-10,120.29,120.64,118.21,118.26,8630000,-0.012
2001-07-11,118.1,118.89,117.09,118.38,15370000,0.001
2001-07-12,119.5,121.47,119.31,121.19,1.2e+07,0.0237
2001-07-13,120.84,122.32,120.62,122.24,10430000,0.0087
2001-07-16,121.77,122.28,120.29,120.71,6920000,-0.0125
2001-07-17,120.2,121.95,119.83,121.84,7470000,0.0094
2001-07-18,120.56,121.64,120.06,121.01,7710000,-0.0068
2001-07-19,122.18,122.98,120.76,122.07,10080000,0.0088
2001-07-20,121.15,121.94,120.92,121.34,6710000,-0.006
2001-07-23,121.8,121.88,118.95,118.95,8070000,-0.0197
2001-07-24,119,119.2,116.75,117.8,12270000,-0.0097
2001-07-25,117.92,119.48,117.46,119.1,12090000,0.011
2001-07-26,119.06,120.85,118.56,120.35,12930000,0.0105
2001-07-27,120.83,121.35,119.91,120.81,8480000,0.0038
2001-07-30,121.19,121.35,120.3,120.85,8550000,3e-04
2001-07-31,121,122.68,120.8,121.35,11920000,0.0041
2001-08-01,121.97,122.7,121.55,122.11,11940000,0.0063
2001-08-02,123.23,123.25,121.89,122.61,11070000,0.0041
2001-08-03,122.36,122.36,120.9,121.94,10820000,-0.0055
2001-08-06,121.35,121.51,120.1,120.3,8550000,-0.0134
2001-08-07,120.27,121.2,119.91,120.77,8870000,0.0039
2001-08-08,120.12,121.16,118.43,118.53,15180000,-0.0185
2001-08-09,118.7,118.97,117.86,118.88,14120000,0.003
2001-08-10,118.8,119.84,117.34,119.29,11170000,0.0034
2001-08-13,119.6,119.85,118.82,119.32,7440000,3e-04
2001-08-14,120.14,120.35,118.8,119.27,13180000,-4e-04
2001-08-15,119.23,119.61,118.08,118.24,8520000,-0.0086
2001-08-16,117.8,118.75,117,118.65,10740000,0.0035
2001-08-17,117.65,117.87,116.01,116.75,11600000,-0.016
2001-08-20,116.8,117.9,116.55,117.83,10420000,0.0093
2001-08-21,117.8,118.54,115.8,115.82,14480000,-0.0171
2001-08-22,116.75,117.43,115.78,117.02,11750000,0.0104
2001-08-23,116.96,117.52,116.49,116.6,8750000,-0.0036
2001-08-24,117.21,119.13,116.74,119.02,11690000,0.0208
2001-08-27,118.97,119.2,118.26,118.31,7430000,-0.006
2001-08-28,118.28,118.49,116.58,116.58,12050000,-0.0146
2001-08-29,117.13,117.18,115.17,115.54,16180000,-0.0089
2001-08-30,114.85,115.74,112.04,113.32,17690000,-0.0192
2001-08-31,113.4,114.77,113.13,114.15,15990000,0.0073
2001-09-04,113.85,116.17,113.37,113.42,24480000,-0.0064
2001-09-05,113.7,114.19,111.95,113.7,21480000,0.0025
2001-09-06,112.65,113.3,110.77,110.77,21660000,-0.0258
2001-09-07,110.02,111.25,108.63,108.72,33130000,-0.0185
2001-09-10,107.7,110.35,107.7,110.05,23410000,0.0122
2001-09-17,101,106.4,100,104.3,32390000,-0.0522
2001-09-18,104.33,105.3,103.36,104.05,22030000,-0.0024
2001-09-19,104.1,104.5,98.56,101.95,42770000,-0.0202
2001-09-20,100.4,101.81,98.57,98.71,36210000,-0.0318
2001-09-21,94.05,98.99,93.8,97.28,49780000,-0.0145
2001-09-24,99.73,101.16,99.06,100.7,25550000,0.0352
2001-09-25,100.75,102,99.9,101.75,25470000,0.0104
2001-09-26,102.35,102.4,100.43,101.39,18590000,-0.0035
2001-09-27,101.25,102.29,100,102.27,20540000,0.0087
2001-09-28,102.98,104.6,102.5,104.44,21790000,0.0212
2001-10-01,103.9,104.32,102.83,104.27,20460000,-0.0016
2001-10-02,104,105.58,103.65,105.58,19830000,0.0126
2001-10-03,104.6,107.88,104.35,107.35,32070000,0.0168
2001-10-04,108.29,108.97,106.75,107.44,32680000,8e-04
2001-10-05,107.25,107.62,105.52,107.23,29830000,-0.002
2001-10-08,106.28,107.3,105.87,106.53,12970000,-0.0065
2001-10-09,106.61,106.75,105.6,105.96,15980000,-0.0054
2001-10-10,105.8,108.55,105.52,108.32,19990000,0.0223
2001-10-11,108.95,110.3,108.95,110,23010000,0.0155
2001-10-12,109.15,109.89,107.3,109.5,31360000,-0.0045
2001-10-15,108.63,109.45,108.06,109.3,16880000,-0.0018
2001-10-16,109.8,110.62,108.95,109.99,15890000,0.0063
2001-10-17,111.07,111.15,107.65,107.65,28600000,-0.0213
2001-10-18,107.82,108.16,106.75,107.42,16520000,-0.0021
2001-10-19,107,107.91,106.01,107.35,21920000,-7e-04
2001-10-22,107.3,109.57,107.21,109.47,17570000,0.0197
2001-10-23,109.96,110.28,108.38,108.91,22060000,-0.0051
2001-10-24,108.98,109.45,108.22,108.62,16070000,-0.0027
2001-10-25,107.45,110.6,106.74,110.57,27500000,0.018
2001-10-26,109.95,111.79,109.67,110.32,18620000,-0.0023
